external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
AUS-ARG-7cfdce8f-7,CVD-0000205,75708347,76911984,AUS-ARG-7cfdce8f-7,True,False,False
AUS-ARG-7cfdce8f-8,CVD-0000206,75708348,76911985,AUS-ARG-7cfdce8f-8,True,False,False
AUS-ARG-7cfdce8f-9,CVD-0000207,75708349,76911986,AUS-ARG-7cfdce8f-9,True,False,False
AUS-WAB-916db9c0-1,CVD-0000208,75708350,76911987,AUS-WAB-916db9c0-1,True,False,False
AUS-WAB-916db9c0-2,CVD-0000209,75708351,76911988,AUS-WAB-916db9c0-2,True,False,False
AVI-UNI-70b60925-1,CVD-0000210,75708352,76911989,AVI-UNI-70b60925-1,True,False,False
AVI-UNI-70b60925-2,CVD-0000211,75708353,76911990,AVI-UNI-70b60925-2,True,False,False
AVI-UNI-a66764d4-1,CVD-0000212,75708354,76911991,AVI-UNI-a66764d4-1,True,False,False
AVI-UNI-a66764d4-2,CVD-0000213,75708355,76911992,AVI-UNI-a66764d4-2,True,False,False
AVI-UNI-a66764d4-3,CVD-0000214,75708356,76911993,AVI-UNI-a66764d4-3,True,False,False
AVI-UNI-c9bf710f-1,CVD-0000215,75708357,76911994,AVI-UNI-c9bf710f-1,True,False,False
AVI-UNI-c9bf710f-2,CVD-0000216,75708358,76911995,AVI-UNI-c9bf710f-2,True,False,False
AVI-UNI-cf069e49-1,CVD-0000217,75708359,76911996,AVI-UNI-cf069e49-1,True,False,False
AVI-UNI-cf069e49-2,CVD-0000218,75708360,76911997,AVI-UNI-cf069e49-2,True,False,False
BAR-COM-21d20d65-1,CVD-0000219,75708361,76911998,BAR-COM-21d20d65-1,True,False,False
BAR-COM-21d20d65-2,CVD-0000220,75708362,76911999,BAR-COM-21d20d65-2,True,False,False
BAR-COM-21d20d65-3,CVD-0000221,75708363,76912000,BAR-COM-21d20d65-3,True,False,False
BAR-COM-21d20d65-4,CVD-0000222,75708364,76912001,BAR-COM-21d20d65-4,True,False,False
BAR-COM-21d20d65-5,CVD-0000223,75708365,76912002,BAR-COM-21d20d65-5,True,False,False
